State,Year,"Female life expectancy (state, years)","Male life expectancy (state, years)"
Alabama,1985,76.9,69.06
Alabama,1986,76.9,69.1
Alabama,1987,77.04,69.16
Alabama,1988,76.95,69.12
Alabama,1989,76.98,69.22
Alabama,1990,77.09,69.38
Alabama,1991,77.13,69.43
Alabama,1992,77.33,69.65
Alabama,1993,77.24,69.84
Alabama,1994,77.18,69.93
Alabama,1995,77.16,69.93
Alabama,1996,77.21,70.11
Alabama,1997,77.28,70.42
Alabama,1998,77.29,70.73
Alabama,1999,77.26,70.94
Alabama,2000,77.23,71.02
Alabama,2001,77.18,71.08
Alabama,2002,77.16,71.08
Alabama,2003,77.14,71.13
Alabama,2004,77.36,71.36
Alabama,2005,77.35,71.47
Alabama,2006,77.46,71.47
Alabama,2007,77.56,71.59
Alabama,2008,77.65,71.92
Alabama,2009,77.61,72.01
Alabama,2010,77.83,72.39
Alaska,1985,77.73,70.87
Alaska,1986,77.91,71.28
Alaska,1987,78.05,71.44
Alaska,1988,78.2,71.68
Alaska,1989,78.43,71.83
Alaska,1990,78.77,71.99
Alaska,1991,78.66,72.13
Alaska,1992,78.8,72.63
Alaska,1993,78.83,73
Alaska,1994,78.75,72.94
Alaska,1995,78.7,72.88
Alaska,1996,78.69,73.04
Alaska,1997,78.93,73.27
Alaska,1998,79.11,73.74
Alaska,1999,79.08,73.97
Alaska,2000,78.87,74.19
Alaska,2001,78.99,74.19
Alaska,2002,79.13,74.27
Alaska,2003,79.24,74.48
Alaska,2004,79.67,74.7
Alaska,2005,79.74,75.06
Alaska,2006,79.58,75.29
Alaska,2007,79.64,75.4
Alaska,2008,79.87,75.38
Alaska,2009,79.65,75.36
Alaska,2010,80.06,75.8
Arizona,1985,78.79,71.69
Arizona,1986,78.85,71.76
Arizona,1987,78.84,71.79
Arizona,1988,78.88,71.91
Arizona,1989,79.02,72.23
Arizona,1990,79.25,72.34
Arizona,1991,79.4,72.59
Arizona,1992,79.7,72.65
Arizona,1993,79.64,72.69
Arizona,1994,79.57,72.85
Arizona,1995,79.62,73.1
Arizona,1996,79.67,73.41
Arizona,1997,79.82,73.93
Arizona,1998,79.93,74.27
Arizona,1999,79.89,74.36
Arizona,2000,79.94,74.48
Arizona,2001,80.01,74.59
Arizona,2002,80.08,74.57
Arizona,2003,80.16,74.72
Arizona,2004,80.37,75.04
Arizona,2005,80.5,75.17
Arizona,2006,80.58,75.32
Arizona,2007,80.82,75.67
Arizona,2008,81.18,76.17
Arizona,2009,81.32,76.53
Arizona,2010,81.72,76.8
Arkansas,1985,77.51,69.79
Arkansas,1986,77.41,69.93
Arkansas,1987,77.55,69.91
Arkansas,1988,77.45,69.89
Arkansas,1989,77.55,70.04
Arkansas,1990,77.62,70.21
Arkansas,1991,77.72,70.28
Arkansas,1992,77.88,70.39
Arkansas,1993,77.86,70.43
Arkansas,1994,77.81,70.54
Arkansas,1995,77.77,70.6
Arkansas,1996,77.84,70.81
Arkansas,1997,77.82,71.17
Arkansas,1998,77.87,71.43
Arkansas,1999,77.83,71.68
Arkansas,2000,77.78,71.76
Arkansas,2001,77.77,71.83
Arkansas,2002,77.66,71.74
Arkansas,2003,77.8,71.84
Arkansas,2004,77.97,72.12
Arkansas,2005,77.99,72.25
Arkansas,2006,78.1,72.29
Arkansas,2007,78.29,72.56
Arkansas,2008,78.37,72.72
Arkansas,2009,78.25,72.73
Arkansas,2010,78.49,72.95
California,1985,78.26,71.74
California,1986,78.38,71.81
California,1987,78.41,71.88
California,1988,78.4,71.92
California,1989,78.54,72.09
California,1990,78.81,72.33
California,1991,79.04,72.63
California,1992,79.33,72.82
California,1993,79.38,73.02
California,1994,79.44,73.21
California,1995,79.61,73.51
California,1996,79.71,74.06
California,1997,79.83,74.72
California,1998,80.07,75.18
California,1999,80.13,75.5
California,2000,80.34,75.74
California,2001,80.44,75.83
California,2002,80.52,75.91
California,2003,80.7,76.05
California,2004,80.98,76.39
California,2005,81.16,76.5
California,2006,81.41,76.76
California,2007,81.65,77.08
California,2008,81.88,77.4
California,2009,82.05,77.74
California,2010,82.49,78.23
Colorado,1985,79.04,72.91
Colorado,1986,79.11,73.11
Colorado,1987,79.25,73.11
Colorado,1988,79.25,73.18
Colorado,1989,79.46,73.51
Colorado,1990,79.56,73.61
Colorado,1991,79.58,73.81
Colorado,1992,79.89,73.92
Colorado,1993,79.81,74.14
Colorado,1994,79.82,74.21
Colorado,1995,79.91,74.37
Colorado,1996,79.84,74.65
Colorado,1997,80,75.08
Colorado,1998,79.99,75.34
Colorado,1999,80,75.54
Colorado,2000,80.17,75.96
Colorado,2001,80.15,75.92
Colorado,2002,80.25,75.91
Colorado,2003,80.28,75.97
Colorado,2004,80.59,76.27
Colorado,2005,80.88,76.45
Colorado,2006,81.07,76.78
Colorado,2007,81.31,77.07
Colorado,2008,81.44,77.21
Colorado,2009,81.44,77.34
Colorado,2010,81.69,77.64
Connecticut,1985,78.7,72.37
Connecticut,1986,78.81,72.6
Connecticut,1987,79.06,72.73
Connecticut,1988,79.09,72.76
Connecticut,1989,79.36,73.02
Connecticut,1990,79.59,73.4
Connecticut,1991,79.71,73.7
Connecticut,1992,80.02,73.74
Connecticut,1993,79.9,73.85
Connecticut,1994,79.81,73.88
Connecticut,1995,79.88,74.06
Connecticut,1996,79.9,74.37
Connecticut,1997,80.08,74.89
Connecticut,1998,80.25,75.33
Connecticut,1999,80.42,75.62
Connecticut,2000,80.59,75.79
Connecticut,2001,80.73,76.05
Connecticut,2002,80.87,76.04
Connecticut,2003,81.13,76.3
Connecticut,2004,81.35,76.68
Connecticut,2005,81.57,76.85
Connecticut,2006,81.71,77.15
Connecticut,2007,81.93,77.55
Connecticut,2008,82.15,77.75
Connecticut,2009,82.16,77.9
Connecticut,2010,82.48,78.18
Delaware,1985,76.81,70.34
Delaware,1986,76.99,70.3
Delaware,1987,77.16,70.7
Delaware,1988,77.13,70.78
